duration,wps,f0_mean,f0_std,f0_5_percentile,f0_95_percentile,tempo,formant1,formant2,formant3,mfcc_0_mean,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_0_std,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,delta_mfcc_0_mean,delta_mfcc_1_mean,delta_mfcc_2_mean,delta_mfcc_3_mean,delta_mfcc_4_mean,delta_mfcc_5_mean,delta_mfcc_6_mean,delta_mfcc_7_mean,delta_mfcc_8_mean,delta_mfcc_9_mean,delta_mfcc_10_mean,delta_mfcc_11_mean,delta_mfcc_12_mean,delta_mfcc_0_std,delta_mfcc_1_std,delta_mfcc_2_std,delta_mfcc_3_std,delta_mfcc_4_std,delta_mfcc_5_std,delta_mfcc_6_std,delta_mfcc_7_std,delta_mfcc_8_std,delta_mfcc_9_std,delta_mfcc_10_std,delta_mfcc_11_std,delta_mfcc_12_std,delta2_mfcc_0_mean,delta2_mfcc_1_mean,delta2_mfcc_2_mean,delta2_mfcc_3_mean,delta2_mfcc_4_mean,delta2_mfcc_5_mean,delta2_mfcc_6_mean,delta2_mfcc_7_mean,delta2_mfcc_8_mean,delta2_mfcc_9_mean,delta2_mfcc_10_mean,delta2_mfcc_11_mean,delta2_mfcc_12_mean,delta2_mfcc_0_std,delta2_mfcc_1_std,delta2_mfcc_2_std,delta2_mfcc_3_std,delta2_mfcc_4_std,delta2_mfcc_5_std,delta2_mfcc_6_std,delta2_mfcc_7_std,delta2_mfcc_8_std,delta2_mfcc_9_std,delta2_mfcc_10_std,delta2_mfcc_11_std,delta2_mfcc_12_std,mfcc_0_kurtosis,mfcc_1_kurtosis,mfcc_2_kurtosis,mfcc_3_kurtosis,mfcc_4_kurtosis,mfcc_5_kurtosis,mfcc_6_kurtosis,mfcc_7_kurtosis,mfcc_8_kurtosis,mfcc_9_kurtosis,mfcc_10_kurtosis,mfcc_11_kurtosis,mfcc_12_kurtosis,mfcc_0_skewness,mfcc_1_skewness,mfcc_2_skewness,mfcc_3_skewness,mfcc_4_skewness,mfcc_5_skewness,mfcc_6_skewness,mfcc_7_skewness,mfcc_8_skewness,mfcc_9_skewness,mfcc_10_skewness,mfcc_11_skewness,mfcc_12_skewness,cpp_mean,ste_mean,ste_std,ste_max,ste_min,ste_variance,gender,age
5.616,2.492877492877493,55.578334228897724,6.51191813317062,46.31743781551058,66.07276333463852,6.410256410256411,844.6267753668444,1905.9094940808427,2627.4012128517447,-400.43713,99.0279,7.3578057,32.743553,6.3114147,20.299068,-11.079102,3.002673,-6.7594953,-6.337215,6.675148,-10.313119,-6.350783,94.400696,72.81626,36.45301,38.302002,39.69305,26.07891,21.062405,14.052317,15.907347,15.252387,13.79743,11.555311,15.908655,0.12235016,0.116531126,0.05176474,0.048046265,0.036218077,0.0053800624,-0.012854488,-0.012803822,-0.012408617,-0.013917657,-0.008968925,-0.007938908,-0.011981619,11.868413,9.900528,5.3080378,5.1068535,5.288719,2.9785078,3.3491197,2.4540043,2.3399525,2.4169567,2.241549,1.5980217,2.3216102,-0.051552027,-0.0538779,-0.03750153,-0.032299194,-0.03049731,-0.024855217,-0.006884802,-0.0048341,-0.010734715,-0.009715744,0.0067699454,0.016435739,0.010055616,5.184464,3.3553522,2.4449446,1.8531457,2.0502949,1.2936736,1.4516349,1.2620378,1.1676893,1.1749429,1.18048,0.93594056,0.9988793,-1.0093156,-1.0019917,-0.1467967,0.34919977,-0.2531047,1.1483431,-0.58059216,0.03886032,-0.07886553,0.15938759,-0.24083638,-0.080507755,0.26459312,-0.37025297,0.09378649,-0.67739403,0.3271148,-0.4565182,-0.55537236,-0.46659213,0.12495075,0.012113882,-0.6541456,0.4604048,-0.13338293,0.038082127,0.07523677268914471,2.2704871386475394,3.670230765143131,18.41292647149286,0.05532617753692494,13.470593869403135,male,twenties
3.672,2.995642701525054,60.34224856486602,7.656602420427429,45.71808428785333,71.73936383710603,8.442265795206971,322.1313207290535,1003.5850557748656,1861.3677076411964,-444.19348,171.8156,33.19122,16.230724,7.1190906,14.504704,4.02543,-7.7621984,-11.856731,-16.324781,-1.0133525,-1.8775989,-7.310124,91.47997,70.15374,43.464935,24.477262,21.753714,15.739078,13.805521,14.715107,12.338839,14.369965,10.166937,9.358806,9.156202,-0.06316807,-0.06910688,-0.029810576,-0.0077754147,-0.009753307,-0.011429438,0.004470654,0.02533899,0.027625086,0.006999342,-0.018334784,-0.029787827,-0.02619836,12.418018,7.463929,6.96736,4.2127185,3.8899388,2.4672585,2.3216805,2.581069,2.184769,2.3745382,2.0265965,1.8853297,1.6690074,-0.08683895,-0.106840715,-0.07053686,-0.037168074,-0.020157004,-0.014720017,-0.008733372,0.0023648387,0.01258006,0.0142009845,0.006710945,-0.003216243,-0.009038118,7.577026,3.2521608,4.134698,2.3483062,2.211365,1.4720813,1.2377392,1.4933683,1.2951347,1.2629448,1.048061,1.174846,0.95523745,-0.15460539,-0.6087036,-0.00511837,-0.015238762,0.27480888,-0.10443759,-0.32754636,0.44909692,-0.44312024,-0.48313498,0.15558147,0.091839075,0.07102823,-0.56042373,-0.8004639,-0.46307847,0.4887748,-0.3558093,-0.255844,0.010428988,0.14921167,-0.47206566,-0.5867257,0.4461793,0.043106087,-0.45031863,0.0671874241240121,2.12279974998362,1.4945254322929076,6.91112964831873,0.0629118551259544,2.2336062677703024,male,twenties
5.688,1.7580872011251758,72.62158591442322,24.167908648964044,41.44213374055084,103.37767832411588,8.263009845288327,375.46625145254757,1660.39277346458,2459.0060727275004,-380.9999,92.61583,8.164337,23.60901,-5.7614355,14.747767,-9.177858,0.7163869,-15.17461,-3.4029737,0.51793784,-2.075381,1.4963696,151.5927,58.18159,28.675043,20.849905,19.024775,16.915909,11.439836,8.817711,13.268329,6.6183376,7.792688,8.338018,5.608969,0.01588057,0.020611394,0.015698958,0.009311115,0.003286701,-0.0010081552,-0.0030541385,-0.0031097247,-0.0018655156,-7.48362e-05,0.0016787687,0.0030635868,0.0039878758,4.3513002,4.0672693,3.514163,2.535237,2.1582367,1.8730265,1.6400709,1.5325805,1.2115777,1.0771327,1.3741416,1.2741992,0.92867243,-0.026609605,-0.034231756,-0.025336362,-0.014191883,-0.0043949415,0.0016824779,0.0036101176,0.0025339595,0.00016643871,-0.0021600835,-0.0038917721,-0.005075558,-0.00591626,1.7028506,1.5640955,1.6154698,1.1835816,1.0480227,0.9585703,0.91228634,0.94293505,0.79125786,0.7373993,0.7714815,0.7980192,0.57901984,-1.7905908,-1.5087703,2.3958936,1.2616506,0.34586668,-0.6794362,-0.08411956,0.4473269,-1.2491583,0.23864865,0.9251201,0.27791858,0.7475052,-0.06436498,0.060474902,-1.3539752,0.5644652,-0.4209246,0.45558277,-0.59146386,0.070942715,-0.20929296,-0.80612576,-0.3540897,-0.89063877,-0.729851,0.129225970339167,4.679778636323856,5.916060161348614,36.00125382427128,0.06253434341758594,34.99976783269619,female,twenties
2.112,1.8939393939393938,49.44880725956909,15.457390893560571,32.70319566257483,77.56031639848767,5.208333333333333,332.0555907570919,1383.768370935618,2303.763513064082,-503.41443,104.3838,10.29222,34.24018,13.573014,13.219143,10.560809,6.5894327,8.174,2.3577282,1.4987489,-2.21515,2.2852097,114.93895,63.41545,19.576803,19.021114,20.616394,18.535532,13.271264,12.569886,10.045357,9.233978,9.155035,8.606696,7.66234,0.1725312,0.14207727,0.021349711,0.02813807,0.04726985,0.052346386,0.0697685,0.06162441,0.052081764,0.045689512,0.010893529,-0.007812481,-0.0026205534,11.885531,6.0565906,3.998308,2.7799263,3.3832536,2.7554505,2.3804731,2.1050422,1.6561316,1.5739459,1.4378984,1.3425356,1.1168311,-0.23525886,-0.17712156,-0.028024357,-0.06418969,-0.027643103,0.024680445,-0.023939352,-0.027317686,0.007675769,0.0039362595,0.008228148,0.009408285,-0.007668686,5.864958,2.5692933,2.5738533,1.5620953,1.3469868,1.4428712,1.1547567,0.98813635,1.0320987,0.98203784,0.8671827,0.7995618,0.8675167,-0.92676616,-0.96953416,3.8533754,0.070702314,1.17974,0.7660861,3.8605223,0.18982577,1.250967,0.8232045,1.0894246,1.0729179,2.5974002,0.7445131,0.66288465,0.1661657,0.88778913,-0.95968187,0.49708405,-1.4748639,-1.03656,0.6922908,-0.9639543,-1.107865,-1.2236389,-1.440808,0.0717707537608607,2.306313393616227,2.7061483949748286,13.607175977350458,0.0670078076779009,7.323239135624841,male,twenties
4.704,1.9132653061224492,60.92985420977034,17.943821331947852,37.50138452957778,109.36644661993022,7.653061224489797,353.0678461407552,1847.356414580258,2623.5427550857717,-488.79114,150.98735,17.280819,14.346863,10.48883,10.363764,-2.2518497,-1.9821559,6.5963063,-1.0678229,-0.33728528,-0.9612857,-2.909183,76.11027,69.18342,33.16023,41.964306,27.252752,16.367678,12.850055,12.6501255,11.97571,12.959208,11.735328,9.848613,9.660343,0.16723143,0.06869338,-0.02889036,0.054020878,0.0052050897,-0.023620911,0.022571411,0.043001268,0.031218305,0.020779064,0.0429477,0.010146987,-0.019592056,7.9151177,8.60722,4.6268244,5.4871473,3.713789,2.5102084,2.2293828,2.0562835,1.9881032,1.7112082,1.8275349,1.6691346,1.598082,-0.16273385,-0.03206033,0.064859174,-0.031434014,-0.004417289,0.00064280024,0.007620737,-0.017071271,-0.035618924,0.0043375744,0.006416397,0.011312921,0.0154102165,3.3101814,3.553397,2.2908366,2.31314,1.6097488,1.3026564,1.1864697,1.191027,1.1523775,0.91997385,1.0042744,0.8655259,0.9252204,-0.48570395,-1.1197126,-0.31360435,-0.06580448,0.2247076,0.003967285,0.028312683,0.45925832,0.07677603,-0.62576866,0.417372,0.20443296,-0.4292562,-0.5069953,-0.34454814,-0.41420022,0.97999644,0.6527602,0.22692713,-0.44279888,-0.0008092424,-0.036026333,-0.14253417,-0.38582334,-0.27972385,0.016837962,0.06677055226361438,0.5581566471293181,0.6092257921625889,3.5771699667926025,0.05787749204858772,0.3711560658361339,male,twenties
2.664,3.003003003003003,68.48053982321942,7.744308653365037,53.74379826388353,77.33375603922921,5.255255255255255,708.6513015325037,1278.7119416248252,2348.4931491703583,-360.22717,124.29628,-12.006879,-2.5421004,12.405622,6.1186504,7.882781,-15.533766,-21.900303,-3.8813977,-8.399455,-9.4797945,-0.637889,129.19505,96.07274,41.549904,32.66012,29.637575,18.935238,15.1527,16.839958,22.360731,12.278085,12.792853,13.928174,8.500742,0.0036374512,0.005602417,0.006680504,0.0076848604,0.007956283,0.0072059175,0.0055601653,0.0033939818,0.0011653595,-0.00065410044,-0.0016471405,-0.0016298217,-0.00086262514,12.566343,8.021816,7.86336,4.8032656,4.1291986,3.2014742,2.1878107,2.7741911,2.7211194,1.8179033,1.7563709,2.1319466,1.3634065,-0.024855202,-0.03357883,-0.029175201,-0.022851778,-0.015968889,-0.009936328,-0.0056495504,-0.0030895157,-0.001411253,0.00047136497,0.0031837157,0.0065463674,0.0097820265,5.76219,3.181441,3.9188414,1.8148408,2.1358566,1.7157855,1.2201453,1.6934701,1.5758413,1.0894836,1.0039594,1.1495944,0.7905588,-1.525534,-1.6251981,0.4503944,1.4874611,-0.07910228,-0.29297423,2.2925806,-0.6927631,-1.0343387,0.63451815,0.8438027,0.20650268,3.0811648,-0.22493966,-0.048543982,-0.8026478,0.64353645,0.65697044,0.1520797,0.89924514,-0.527194,-0.29722193,-0.23350352,-1.0434649,-0.4903198,1.325964,0.0777423174754205,16.265870137689706,19.07394873629913,83.69445172245659,0.132291779576039,363.81552039496717,male,twenties
5.808,2.066115702479339,98.49866471454786,13.505494133480175,81.31961222169139,128.78892904657502,6.198347107438017,484.6105207250173,2414.4587270244465,3407.990306652362,-650.18634,110.37576,-4.931335,19.750824,4.2785587,1.4918815,-16.044718,1.5156503,-8.659061,-12.2077265,-1.9832807,-6.751017,-4.5312557,115.18807,78.6924,32.94917,28.101576,27.849678,19.100058,20.900795,11.267715,12.366594,19.262968,10.805225,11.508688,11.497612,0.031385623,0.028041763,0.0096752485,0.0050342246,-0.0035993524,-0.0029413975,0.0057501416,0.004707912,0.0057016173,0.006796326,-0.0027437052,-0.007784257,-0.0055276994,11.534767,9.474619,6.30243,4.380648,4.146637,3.5743725,2.9678316,2.1423774,1.8241676,2.9529493,2.102004,1.6206561,1.9100953,-0.032113627,-0.028715895,-0.007273696,-0.0006783407,0.0033450355,-0.0010614749,-0.008607191,-0.0078416215,-0.009947119,-0.009640587,0.0010495265,0.0064906734,0.0046482426,6.0736294,3.944053,3.1622624,2.199032,1.7957071,1.64649,1.4696149,1.1845735,0.9597055,1.3679264,1.1364263,0.8618081,0.9077263,-1.1724226,-1.5321704,0.11791825,0.8573599,0.3610313,1.120985,-1.0135227,0.30984783,-0.7639713,-0.924042,0.7467935,0.45243478,0.49543428,-0.45261684,-0.07092768,0.3266734,0.17198886,-0.096446544,-0.7353888,-0.16696174,-0.09000221,-0.00730074,-0.2644201,-0.10919803,-0.74143595,-0.7527763,0.1935200992637669,0.08940254744950805,0.025332886919844453,0.16667323140384402,0.06105025387496703,0.0006417551596936261,female,twenties
3.24,2.4691358024691357,41.9537731102857,8.041067573591668,32.8926433477786,60.674835219006056,4.012345679012346,374.10051206781645,1501.9408631155814,2069.1173098141035,-412.8381,115.22759,-28.259863,23.440256,30.695219,-11.862144,3.655199,-0.15873928,-14.500842,0.9482064,-7.7804694,-11.984154,6.359659,135.95062,93.843605,46.4736,31.125713,25.330713,24.946474,22.24373,15.667366,16.84953,14.128713,14.124057,13.334862,8.817281,0.012675536,-0.005588682,-0.014915498,0.004908242,-0.0056641605,-0.012358418,-0.0013230474,-0.01130074,-0.009352935,0.0065890863,-0.004699933,-0.011096267,0.00042169346,14.658996,11.5235815,7.516602,4.703906,3.3149698,4.189161,3.2010648,2.3392544,2.5005753,2.7318006,2.2285635,2.0272388,1.4273573,-0.0025706543,-0.021567712,-0.024352565,-0.0038183574,-0.012302719,-0.016389186,-0.0053892983,-0.01528918,-0.014665508,-0.0013899254,-0.012474262,-0.01739299,-0.0054626055,6.242607,4.898008,4.0043254,1.9201275,1.4977458,1.9498911,1.3895296,1.1864781,1.0758148,1.3648878,1.1321267,1.0400941,0.8518349,-1.5744482,-1.5530366,0.85140395,1.2246966,-0.82170033,0.21566844,0.10234594,-0.3700335,-1.1556144,0.3585446,-0.57489514,-0.8170924,-0.2571416,-0.24916285,0.094732635,-1.2159041,1.1480715,0.413536,-0.90204626,-0.20078477,0.073567726,-0.15376505,-0.48315826,-0.3214012,-0.3840107,0.14245583,0.04603098227961736,5.640731354640529,5.925684339009561,23.479962715397704,0.08253780308269744,35.11373488558318,male,twenties
3.984,1.7570281124497993,52.72730668194134,5.744059536584765,43.95805012427741,62.09304226433722,4.769076305220883,1037.1589390994056,2215.0632806833364,3334.2486661360263,-414.23096,105.242874,7.1768503,10.904595,1.9711643,-7.1395364,-13.33588,-0.22311251,-4.0448356,-13.573287,-8.739623,-2.7534878,-1.665408,123.06294,93.73612,29.458473,32.862164,25.87309,23.473629,23.966755,11.388178,17.489424,15.795436,13.797255,9.293755,7.7206483,0.0011254785,0.0015141289,0.0012972419,0.0009808668,0.0006191998,0.0002649863,-4.4450404e-05,-0.00029544014,-0.0004982464,-0.0006790416,-0.0008665202,-0.0010777438,-0.0013076889,11.810466,11.184359,5.932272,4.590226,4.768264,3.7167256,3.5002398,2.1290476,2.6992073,2.1219115,2.1690633,1.695245,1.3316414,-0.0007638115,-0.0010689363,-0.0010343592,-0.0009749433,-0.0008886396,-0.0007741158,-0.0006316932,-0.00046427365,-0.00027786603,-8.1419304e-05,0.0001138436,0.00029580478,0.0004531349,5.3922195,4.0600705,3.212173,1.8037987,2.1101367,1.7976404,1.5525,1.1023313,1.186846,1.0386951,1.0556327,0.9728064,0.7804775,-1.6218281,-1.5563351,0.28652024,1.3349171,1.8501511,0.5268173,1.0297155,1.4493966,0.8618674,-0.6204953,0.94092274,1.2544336,0.42666364,-0.0765076,0.18308954,-0.12766486,0.9821301,-0.5165204,-0.554756,-1.0770198,-0.3172946,-0.6469225,-0.7306319,-1.0341827,-0.13418423,-0.4594749,0.07564243208919363,5.89213773205747,8.360783699100026,45.432705581084875,0.055659760658021314,69.90270406313671,male,twenties
5.424,2.028023598820059,142.72754363537285,287.9824741138889,36.28646754625459,1022.6001165228989,6.084070796460177,342.2594583189994,1576.5107092824053,2462.9175456925423,-417.7685,118.360466,9.39035,29.664328,25.655123,13.031346,-1.6464721,-5.067575,-8.264565,-7.2668166,2.111718,1.2982502,-0.6950939,112.439926,85.60741,41.834507,36.615437,32.461056,16.568508,16.823135,19.522717,12.478981,14.254043,10.816946,9.095904,9.893546,0.0015523195,0.004655849,0.009236843,0.012097829,0.013710922,0.016012695,0.01800104,0.017801212,0.015901515,0.013290774,0.009204215,0.0033004298,-0.002113079,9.986919,8.840058,6.9057546,5.039216,4.6390295,2.4292893,2.828622,2.5538645,1.7845032,2.23608,1.6039186,1.4588073,1.5200629,-0.070008315,-0.07768518,-0.033629343,-0.0024617463,0.0022476492,-0.0072287866,-0.014767796,-0.013325326,-0.0038569951,0.006637242,0.009060886,0.001325218,-0.008351446,5.2487693,3.7400115,3.0551338,2.2343445,1.8466573,1.1635909,1.5988156,1.3531032,0.9720331,1.1210513,1.0304375,0.8140261,0.8914796,-1.104459,-1.3248295,0.18894887,0.05430293,0.2934935,-0.36002755,0.40026474,0.41325307,0.020260572,0.47817683,1.2414045,0.058335066,1.3504739,-0.28172123,0.064561,-0.34466323,0.84750926,0.22538464,0.15944523,-0.51551014,-0.06724707,-0.5113882,-0.80462766,-0.534976,0.2484135,-0.36595032,0.06332231321983946,3.885743453027564,4.743246038038519,35.737257934191334,0.05905639887025299,22.498382977368106,male,twenties
